Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD
2003,Australia,New South Wales,Sugarcane,32.16,909.06,1.14,2.12,3,79.29,11.82,41.61,90.84,Organic Farming,690.16
2014,China,Central,Sugarcane,3.75,1682.38,23.95,1.233,8,33.73,17.5,88.6,82.35,Water Management,273.56
2010,France,Grand Est,Sugarcane,31.14,1373.86,11.04,2.89,7,40.97,18.76,83.82,38.37,Drought-resistant Crops,815.29
2019,Canada,Ontario,Sugarcane,17.58,1955.03,16.2,2.286,9,84.74,29.25,18.77,40.91,No Adaptation,1027.68
2002,China,South,Sugarcane,28.55,1215.0,24.45,3.087,0,45.46,43.86,93.83,87.28,Drought-resistant Crops,1013.23
1995,Australia,Western Australia,Sugarcane,17.8,1020.6,11.82,4.2,10,62.72,21.11,53.91,44.59,Drought-resistant Crops,486.74
2002,China,Central,Sugarcane,31.36,1962.7,13.37,0.84,9,50.02,15.9,48.01,82.39,Organic Farming,164.3
2008,Australia,Western Australia,Sugarcane,22.46,1000.5,14.66,2.9,9,14.33,29.07,50.52,78.67,No Adaptation,1160.94
2017,Brazil,Southeast,Sugarcane,29.89,2522.91,10.69,3.63,9,39.14,40.29,42.38,75.87,Drought-resistant Crops,1282.38
2022,India,Punjab,Sugarcane,-0.35,2252.28,12.98,1.67,4,83.59,20.56,49.85,51.74,Organic Farming,777.35
2013,Nigeria,North West,Sugarcane,12.6,761.12,19.16,3.222,5,83.13,44.02,62.12,86.13,Drought-resistant Crops,363.41
2019,China,East,Sugarcane,2.41,884.26,17.21,0.657,8,18.66,33.9,75.94,66.78,Organic Farming,256.93
2002,China,South,Sugarcane,7.86,416.44,3.34,1.368,8,14.79,29.76,27.08,77.42,Drought-resistant Crops,205.16
2013,USA,South,Sugarcane,10.17,1037.28,28.51,1.809,10,39.04,26.29,30.46,73.81,Water Management,323.29
1990,Nigeria,South West,Sugarcane,8.73,1055.76,19.06,1.053,5,75.24,30.64,18.06,86.89,Crop Rotation,489.01
2018,Nigeria,South East,Sugarcane,9.02,1345.87,22.83,2.4480000000000004,6,75.85,33.56,79.59,93.75,Crop Rotation,423.53
1991,Brazil,Northeast,Sugarcane,2.23,427.79,10.58,1.368,5,92.38,0.49,43.97,76.19,Water Management,312.76
2011,Australia,Western Australia,Sugarcane,23.55,1081.13,27.88,1.0080000000000002,4,73.93,5.98,42.92,88.67,Organic Farming,237.23
2001,Australia,Victoria,Sugarcane,-4.91,1110.59,19.48,2.628,6,49.12,0.19,74.99,59.97,Drought-resistant Crops,1056.36
2005,France,Provence-Alpes-Cote d’Azur,Sugarcane,26.15,1953.81,21.04,3.375,1,48.76,29.92,84.48,44.87,Water Management,1285.0
2023,France,Provence-Alpes-Cote d’Azur,Sugarcane,28.7,2846.99,10.31,1.34,2,79.04,14.79,34.13,41.8,Organic Farming,195.31
2007,China,North,Sugarcane,25.42,916.15,1.03,2.36,3,10.23,39.87,90.83,60.63,Organic Farming,372.31
2020,Canada,Quebec,Sugarcane,-0.97,1102.9,23.31,2.7,6,89.75,13.72,65.33,66.57,Water Management,1062.32
2014,Nigeria,South East,Sugarcane,1.52,1280.41,16.92,2.43,10,25.94,43.4,42.15,47.27,Crop Rotation,949.29
2015,Argentina,Northeast,Sugarcane,19.7,2653.22,6.04,4.69,2,89.89,27.5,6.71,73.2,Water Management,1783.93
1998,Brazil,Northeast,Sugarcane,8.37,1249.29,3.32,1.8,9,20.69,28.13,33.34,89.1,Crop Rotation,244.46
2018,China,East,Sugarcane,26.74,1761.86,20.13,1.566,6,33.9,6.59,22.01,84.87,No Adaptation,364.98
2015,Australia,Queensland,Sugarcane,12.3,2946.49,18.54,4.275,4,60.65,29.95,14.01,33.6,Water Management,648.47
1999,India,West Bengal,Sugarcane,11.28,2443.86,21.82,1.746,10,40.14,0.63,24.06,33.59,Organic Farming,607.71
2016,Australia,New South Wales,Sugarcane,-0.75,442.41,13.81,1.683,7,21.37,13.96,2.26,35.76,Crop Rotation,361.79
1990,Canada,British Columbia,Sugarcane,8.36,2284.9,16.25,2.439,6,36.39,4.43,74.97,35.29,Organic Farming,322.32
2012,Nigeria,South East,Sugarcane,19.65,2239.26,0.83,4.15,10,68.33,49.49,81.63,73.8,Organic Farming,477.53
2014,Canada,Prairies,Sugarcane,-0.44,2657.98,21.83,1.566,4,42.35,6.51,14.61,93.85,Crop Rotation,493.76
2015,China,North,Sugarcane,3.48,1361.23,28.88,1.107,3,54.91,13.92,15.31,30.13,Drought-resistant Crops,447.78
2021,Argentina,Northeast,Sugarcane,7.32,2488.66,24.12,1.746,9,82.99,12.28,33.44,75.35,Crop Rotation,300.06
2018,Nigeria,South West,Sugarcane,-1.22,644.93,7.64,2.56,4,28.36,3.08,98.96,83.39,No Adaptation,812.86
2010,Canada,Ontario,Sugarcane,17.03,2072.41,27.73,4.338,10,66.52,46.92,14.13,41.6,Water Management,1900.94
2000,China,Central,Sugarcane,20.55,706.98,18.08,1.548,7,15.64,5.55,50.04,73.31,Water Management,168.81
1998,India,West Bengal,Sugarcane,31.15,2822.58,2.11,0.97,2,17.14,37.97,19.23,34.49,Drought-resistant Crops,221.31
1996,Brazil,South,Sugarcane,6.33,2715.28,19.54,1.629,0,79.03,14.08,54.13,44.9,Water Management,316.77
2000,Australia,Western Australia,Sugarcane,27.25,1950.42,27.67,2.664,6,46.7,30.36,76.56,91.28,Water Management,620.51
2004,Argentina,Patagonia,Sugarcane,11.2,371.9,9.64,2.394,10,95.57,46.31,9.96,71.79,Water Management,453.97
2017,Australia,Victoria,Sugarcane,17.6,1444.93,2.38,2.67,8,42.59,23.18,83.77,71.82,No Adaptation,1328.34
2024,Australia,Western Australia,Sugarcane,14.46,1739.05,24.46,1.71,10,84.76,35.75,33.52,62.91,No Adaptation,376.51
2016,Russia,Siberian,Sugarcane,13.48,2518.41,28.38,2.556,2,78.78,29.24,86.47,67.82,Water Management,1015.06
2020,China,Central,Sugarcane,-3.27,1596.69,23.69,0.522,10,26.53,23.51,64.68,46.75,Water Management,257.66
1996,China,East,Sugarcane,13.92,1318.57,23.44,1.881,1,50.06,39.19,69.04,64.29,Water Management,845.83
2003,Canada,British Columbia,Sugarcane,3.68,1871.54,10.0,1.95,5,52.02,14.86,3.86,67.21,No Adaptation,658.91
1997,Argentina,Patagonia,Sugarcane,20.72,599.96,15.62,1.269,3,27.44,2.81,55.91,43.79,No Adaptation,268.37
1996,Brazil,North,Sugarcane,12.54,273.85,29.7,2.52,5,14.9,20.56,53.87,64.79,Organic Farming,797.12
1995,USA,South,Sugarcane,-1.65,2068.86,13.57,0.53,3,65.85,4.03,92.39,44.57,Water Management,105.8
1996,Nigeria,North Central,Sugarcane,20.08,2717.75,28.83,3.375,10,74.93,43.63,5.94,70.24,Organic Farming,1506.66
2004,Australia,New South Wales,Sugarcane,9.35,2231.79,16.44,0.5940000000000001,9,48.7,34.53,50.01,49.97,Water Management,263.72
1991,France,Ile-de-France,Sugarcane,32.89,2685.57,27.98,3.249,10,49.07,45.17,99.48,52.49,Organic Farming,1326.2
2008,Argentina,Pampas,Sugarcane,11.84,1374.53,14.95,2.3,4,24.86,30.97,54.85,97.49,No Adaptation,1096.41
2007,Australia,Victoria,Sugarcane,3.41,1244.18,7.16,2.56,1,72.72,3.85,7.06,54.93,Crop Rotation,787.6
2010,Nigeria,South East,Sugarcane,3.45,327.94,5.05,1.71,2,41.93,1.48,77.64,44.75,Water Management,719.35
2011,Nigeria,South West,Sugarcane,14.6,1751.14,11.2,2.8,0,67.56,18.2,95.47,38.83,Crop Rotation,679.2
1997,Australia,Queensland,Sugarcane,17.37,1136.13,15.45,2.907,2,51.76,1.31,81.75,44.2,Drought-resistant Crops,653.4
2020,Argentina,Patagonia,Sugarcane,18.72,2461.92,21.82,4.104,1,65.37,46.55,30.58,45.28,No Adaptation,1995.21
2003,China,East,Sugarcane,16.66,2397.96,9.87,4.05,4,15.07,4.44,81.39,81.84,Water Management,822.38
2008,Argentina,Northwest,Sugarcane,23.81,864.05,5.9,3.68,2,66.61,39.72,13.96,70.82,Organic Farming,1759.58
2020,India,Punjab,Sugarcane,34.45,1108.25,25.75,3.231,0,83.89,41.02,23.73,43.69,No Adaptation,721.57
2001,Argentina,Patagonia,Sugarcane,19.5,1446.3,10.99,3.43,0,93.85,25.38,66.4,53.07,No Adaptation,1303.07
2021,Brazil,South,Sugarcane,12.39,2510.51,5.42,2.45,0,32.08,13.97,98.85,57.83,Organic Farming,918.2
2002,China,Central,Sugarcane,3.82,633.76,19.64,1.251,6,51.66,7.6,28.09,63.3,No Adaptation,145.72
1998,China,Central,Sugarcane,14.61,2777.91,6.73,2.09,4,10.56,26.99,75.18,39.47,No Adaptation,394.95
1998,Russia,Northwestern,Sugarcane,22.56,1166.86,13.34,2.54,10,53.01,5.8,72.86,48.37,No Adaptation,262.2
2014,Canada,British Columbia,Sugarcane,10.97,2536.66,21.15,2.034,1,74.86,44.66,9.59,72.28,No Adaptation,505.32
2005,India,Tamil Nadu,Sugarcane,19.1,1940.04,7.24,3.15,1,30.51,49.73,74.43,34.14,Crop Rotation,1146.99
2002,India,Tamil Nadu,Sugarcane,22.9,2565.01,19.79,3.096,9,77.32,17.76,23.81,61.45,Organic Farming,1350.02
2007,China,South,Sugarcane,20.45,2235.34,29.46,2.781,1,24.04,6.46,2.37,96.96,Organic Farming,447.7
2024,Russia,Volga,Sugarcane,1.54,1615.26,4.0,2.26,6,22.71,9.63,38.63,30.65,Drought-resistant Crops,391.41
2017,Brazil,South,Sugarcane,27.23,1704.74,12.39,3.24,4,86.88,47.75,78.72,34.9,No Adaptation,478.63
2012,Argentina,Northwest,Sugarcane,-2.84,1787.08,11.54,1.13,0,52.56,11.21,41.53,57.28,No Adaptation,225.08
1999,Brazil,Northeast,Sugarcane,-2.76,2133.97,2.53,1.05,5,87.52,49.63,26.83,97.15,Crop Rotation,418.72
2010,Canada,Quebec,Sugarcane,33.76,1341.62,2.92,3.84,10,25.37,1.65,7.09,64.86,Organic Farming,1770.28
2000,China,East,Sugarcane,0.06,2167.31,2.89,2.17,5,92.31,7.48,95.99,66.48,Water Management,806.56
2016,Nigeria,South East,Sugarcane,19.1,705.94,1.06,1.51,2,89.98,41.26,72.19,52.67,No Adaptation,228.5
2024,Australia,New South Wales,Sugarcane,11.03,540.29,28.98,3.708,0,83.32,29.63,56.76,57.24,Water Management,1102.6
2002,Russia,Siberian,Sugarcane,0.25,1444.57,21.82,0.5760000000000001,4,75.5,14.83,94.29,93.69,Organic Farming,68.45
2023,China,East,Sugarcane,-2.52,1752.96,3.21,2.85,8,28.11,6.25,91.17,30.9,Drought-resistant Crops,908.97
2009,USA,Northeast,Sugarcane,2.68,2898.89,6.41,1.36,10,71.05,32.18,31.18,88.22,Water Management,645.81
1994,China,East,Sugarcane,7.93,752.06,5.61,1.18,6,35.64,44.42,44.22,75.9,Crop Rotation,236.7
1999,Brazil,Southeast,Sugarcane,25.93,2062.77,15.59,2.682,8,61.47,3.83,12.6,97.39,Organic Farming,765.35
2018,Nigeria,North Central,Sugarcane,24.46,2080.82,21.22,2.52,6,43.02,47.09,8.95,67.63,No Adaptation,781.35
2015,India,Punjab,Sugarcane,-0.63,1213.41,2.06,2.51,5,90.78,29.26,32.39,64.05,Organic Farming,1008.27
1999,Australia,Western Australia,Sugarcane,0.37,2286.82,22.57,0.5850000000000001,10,93.56,42.32,60.24,61.85,Organic Farming,113.45
2023,France,Nouvelle-Aquitaine,Sugarcane,14.1,857.37,8.58,2.77,2,31.01,15.78,24.79,34.72,Water Management,786.24
2013,Brazil,Northeast,Sugarcane,4.24,1089.02,13.98,1.81,1,85.36,32.55,89.48,99.67,No Adaptation,674.79
1990,Brazil,Northeast,Sugarcane,3.48,1882.68,2.19,0.64,9,80.73,29.09,83.4,75.09,Crop Rotation,259.97
2000,Canada,Prairies,Sugarcane,7.2,1597.2,17.27,0.927,7,73.16,2.29,96.39,67.74,Organic Farming,257.41
2016,China,South,Sugarcane,28.69,2276.92,15.09,1.836,2,54.07,8.81,8.24,48.33,No Adaptation,369.87
1996,Argentina,Northwest,Sugarcane,0.66,1113.77,15.33,0.468,8,49.66,13.79,56.36,91.61,Organic Farming,187.21
2013,Russia,Siberian,Sugarcane,34.35,2825.44,9.33,2.66,3,11.33,6.16,71.9,89.66,Crop Rotation,961.94
2016,Australia,Victoria,Sugarcane,22.75,2117.48,25.73,2.574,5,46.0,36.9,11.64,83.55,Organic Farming,580.58
2012,Russia,Siberian,Sugarcane,6.63,372.08,13.98,1.296,2,99.05,1.27,51.58,45.17,No Adaptation,418.1
1996,Australia,Western Australia,Sugarcane,14.84,2765.15,14.43,2.16,0,74.25,39.84,42.36,57.56,Crop Rotation,454.73
2005,Russia,Northwestern,Sugarcane,-1.29,1960.5,23.16,0.7290000000000001,8,29.12,2.41,54.94,88.83,Organic Farming,156.06
2010,Nigeria,South West,Sugarcane,-1.78,1576.99,0.55,2.24,1,21.6,20.23,72.73,64.96,No Adaptation,413.94
2012,Nigeria,North West,Sugarcane,18.69,2232.5,20.58,3.564,6,29.63,41.09,35.99,38.13,Crop Rotation,1026.57
1991,Russia,Northwestern,Sugarcane,31.24,1109.2,18.55,3.276,0,34.66,5.5,37.25,39.37,No Adaptation,772.48
2017,Russia,Central,Sugarcane,-0.21,2156.32,8.65,1.39,3,31.88,41.01,4.48,87.36,Water Management,329.67
1992,Nigeria,South East,Sugarcane,8.97,882.62,29.08,0.909,2,19.16,43.57,49.75,51.73,No Adaptation,292.81
2020,Russia,Northwestern,Sugarcane,13.35,304.64,16.12,3.924,8,34.77,33.29,44.96,74.67,Organic Farming,1864.02
2017,Brazil,South,Sugarcane,9.55,2600.49,6.56,1.5,5,98.38,38.15,66.12,44.11,Organic Farming,225.8
1996,France,Grand Est,Sugarcane,29.79,2642.22,24.02,2.4480000000000004,5,15.54,6.82,58.15,52.43,No Adaptation,1087.66
2021,USA,West,Sugarcane,29.15,2326.94,22.34,1.332,4,13.06,14.34,92.5,36.85,Drought-resistant Crops,232.64
2023,India,Tamil Nadu,Sugarcane,-0.44,2879.03,6.58,1.43,9,70.56,19.53,33.9,91.04,No Adaptation,226.76
2005,Russia,Central,Sugarcane,8.0,2106.72,19.58,1.314,0,36.9,42.24,32.05,88.4,No Adaptation,334.28
2020,China,South,Sugarcane,5.01,2397.23,2.66,1.55,6,95.23,44.83,39.34,89.57,Water Management,665.97
1998,Argentina,Patagonia,Sugarcane,-4.35,1300.41,12.03,1.24,5,17.03,6.43,94.39,30.66,Crop Rotation,269.27
2015,Argentina,Patagonia,Sugarcane,27.08,2620.81,11.81,3.57,3,86.76,9.39,51.6,66.79,No Adaptation,1589.01
2005,Australia,New South Wales,Sugarcane,14.58,1367.84,16.55,4.284,3,92.98,37.27,8.65,67.57,No Adaptation,2061.45
2016,India,Punjab,Sugarcane,6.07,2159.83,28.97,0.468,0,64.32,42.92,34.82,88.55,Water Management,136.26
2001,China,East,Sugarcane,16.22,2448.7,27.09,4.4910000000000005,10,33.43,42.51,2.98,63.95,Drought-resistant Crops,1543.47
2016,Nigeria,South West,Sugarcane,10.45,800.02,19.32,3.933,4,92.02,1.69,73.58,48.19,Crop Rotation,1603.57
1990,China,South,Sugarcane,34.21,2920.36,4.82,0.93,9,71.79,32.6,23.86,86.36,No Adaptation,234.98
1991,Nigeria,North West,Sugarcane,16.91,586.58,3.51,2.32,8,24.03,47.0,60.33,38.12,Crop Rotation,711.28
2000,China,South,Sugarcane,34.01,366.1,10.02,2.826,3,92.56,38.06,15.84,36.88,Organic Farming,1350.86
2007,Argentina,Northeast,Sugarcane,16.8,1491.29,4.55,3.42,10,47.14,23.91,51.57,82.6,No Adaptation,1259.54
2001,India,Punjab,Sugarcane,24.57,2863.51,1.03,2.94,6,88.56,22.99,45.48,48.63,No Adaptation,510.52
2004,France,Ile-de-France,Sugarcane,11.9,656.69,18.52,2.7,9,26.95,38.37,30.78,95.32,Water Management,701.18
2009,India,West Bengal,Sugarcane,15.7,1802.84,10.96,2.65,1,81.99,49.79,19.86,91.22,Crop Rotation,393.67
2016,Nigeria,North West,Sugarcane,9.24,315.51,4.66,0.7020000000000001,5,68.67,25.96,62.63,38.17,Water Management,349.96
2023,France,Provence-Alpes-Cote d’Azur,Sugarcane,0.18,1968.38,15.96,0.99,10,10.52,22.68,99.18,76.24,Water Management,379.13
2021,Brazil,Northeast,Sugarcane,33.43,388.87,13.1,1.494,8,57.29,10.68,53.57,33.69,Water Management,421.29
2021,France,Nouvelle-Aquitaine,Sugarcane,33.53,952.21,27.98,3.222,2,23.24,11.2,83.74,98.97,Water Management,1591.4
2015,France,Grand Est,Sugarcane,23.97,2080.98,25.63,1.638,1,17.84,33.98,81.0,58.35,Drought-resistant Crops,615.71
2002,France,Provence-Alpes-Cote d’Azur,Sugarcane,9.34,1032.3,14.15,2.48,4,64.01,37.6,49.72,75.04,Water Management,1128.59
2015,Argentina,Northeast,Sugarcane,15.1,659.44,13.83,2.74,0,33.14,0.3,11.24,38.59,Water Management,1215.87
2005,Nigeria,South East,Sugarcane,32.69,1387.98,6.08,2.97,0,55.31,21.83,61.65,66.47,Organic Farming,1096.71
2009,USA,South,Sugarcane,-3.49,830.22,11.56,2.89,5,32.74,14.04,77.14,34.12,Drought-resistant Crops,364.53
2008,China,North,Sugarcane,6.6,2724.49,13.09,2.49,3,24.57,14.12,41.43,51.74,Water Management,769.02
2010,Russia,Northwestern,Sugarcane,22.02,338.93,26.94,2.601,5,73.03,24.43,30.96,68.61,No Adaptation,391.42
2014,USA,Northeast,Sugarcane,-0.86,1632.32,12.77,1.01,8,41.61,34.16,40.76,40.9,Drought-resistant Crops,354.04
1990,China,East,Sugarcane,5.13,1731.04,29.93,1.1880000000000002,1,90.42,48.4,25.12,61.85,Organic Farming,178.8
1994,Australia,Victoria,Sugarcane,9.27,1618.89,6.18,2.7,9,59.02,37.03,66.22,49.86,Crop Rotation,1191.75
2005,Nigeria,South East,Sugarcane,19.61,1280.06,7.2,4.96,7,92.89,35.89,67.96,86.01,No Adaptation,711.82
2023,Canada,Ontario,Sugarcane,21.73,2632.97,16.48,3.591,2,77.44,8.97,64.86,50.65,Crop Rotation,924.8
1996,Nigeria,North West,Sugarcane,17.72,2626.04,3.7,4.97,10,99.29,30.27,14.4,84.35,Water Management,1154.81
2022,China,Central,Sugarcane,-1.35,2627.57,22.16,0.7020000000000001,7,23.95,35.56,79.87,52.82,Water Management,271.51
2014,USA,West,Sugarcane,10.33,814.12,20.05,2.4480000000000004,8,53.84,16.71,66.95,73.45,Drought-resistant Crops,778.99
2010,USA,Midwest,Sugarcane,23.49,938.91,14.28,1.85,7,83.42,40.86,57.65,81.58,No Adaptation,345.41
2000,Nigeria,North Central,Sugarcane,5.89,1584.7,21.98,2.124,9,49.52,32.38,61.03,55.4,No Adaptation,855.78
2016,India,Punjab,Sugarcane,9.27,2629.49,23.47,0.963,7,19.8,29.04,63.04,68.18,Crop Rotation,103.19
2004,India,Punjab,Sugarcane,28.43,1061.32,25.73,2.682,7,96.47,7.08,16.16,73.07,Crop Rotation,1214.37
1991,USA,Northeast,Sugarcane,31.89,2921.93,27.4,1.647,6,45.82,14.07,10.58,61.18,Water Management,715.45
1996,Australia,Western Australia,Sugarcane,19.49,2666.05,5.35,4.53,0,47.23,32.46,4.06,46.34,Drought-resistant Crops,669.87
2000,Russia,Northwestern,Sugarcane,23.34,1668.07,16.19,3.33,8,35.54,49.19,21.89,53.54,Crop Rotation,737.99
2003,China,Central,Sugarcane,24.38,1708.5,1.82,1.96,0,43.63,38.09,43.63,50.99,Drought-resistant Crops,673.54
2010,Canada,British Columbia,Sugarcane,0.85,419.04,12.82,2.322,4,67.1,10.58,41.79,69.7,Crop Rotation,717.73
2016,India,West Bengal,Sugarcane,-0.54,2013.52,8.9,1.4,1,74.06,43.14,58.31,68.26,Drought-resistant Crops,316.21
2023,China,Central,Sugarcane,11.72,1347.29,1.72,4.18,8,34.01,11.88,27.92,69.65,Organic Farming,1998.84
